ID_Pedido,Data,Produto,Categoria,Quantidade,Preço_Unitário,Total_Venda,Região
68,2026-02-28,Notebook Ryzen 5,Computadores,1,749.0,749.0,Sul
69,2026-03-01,Suporte para Notebook,Acessórios,1,22.0,22.0,Sudeste
70,2026-03-02,Caixa de Som Wi-Fi,Áudio,1,120.0,120.0,Norte
71,2026-03-03,Placa de Vídeo RTX,Componentes,1,399.0,399.0,Sudeste
72,2026-03-04,SSD 1TB NVMe,Armazenamento,2,85.0,170.0,Centro-Oeste
73,2026-03-05,Webcam Full HD,Periféricos,2,45.0,90.0,Nordeste
74,2026-03-05,Roteador Wi-Fi 6,Redes,1,79.9,79.9,Sul
75,2026-03-06,Smartwatch Fitness,Celulares,1,110.0,110.0,Sudeste
76,2026-03-07,Pen Drive 64GB,Armazenamento,5,12.0,60.0,Norte
77,2026-03-08,Hub USB-C,Acessórios,3,29.9,89.7,Centro-Oeste
78,2026-03-09,Microfone Condensador,Áudio,1,65.0,65.0,Nordeste
79,2026-03-10,Cadeira Gamer,Móveis,1,250.0,250.0,Sul
80,2026-03-11,Memory Card 128GB,Armazenamento,2,18.0,36.0,Sudeste
81,2026-03-12,Fone de Ouvido Bluetooth,Áudio,2,45.0,90.0,Sudeste
82,2026-03-13,Mouse Sem Fio,Periféricos,2,25.5,51.0,Centro-Oeste
83,2026-03-14,Teclado Mecânico,Periféricos,1,89.9,89.9,Norte
84,2026-03-15,Monitor 24 Polegadas,Monitores,1,199.0,199.0,Nordeste
85,2026-03-16,Smartphone 128GB,Celulares,1,499.0,499.0,Sul
86,2026-03-17,Carregador Rápido,Acessórios,3,15.0,45.0,Sudeste
87,2026-03-18,Cabo HDMI 2m,Acessórios,4,8.5,34.0,Centro-Oeste
88,2026-03-19,Notebook Ryzen 5,Computadores,1,749.0,749.0,Nordeste
89,2026-03-20,Suporte para Notebook,Acessórios,2,22.0,44.0,Sul
90,2026-03-20,Caixa de Som Wi-Fi,Áudio,1,120.0,120.0,Sudeste
91,2026-03-21,Placa de Vídeo RTX,Componentes,1,399.0,399.0,Norte
92,2026-03-22,SSD 1TB NVMe,Armazenamento,4,85.0,340.0,Sudeste
93,2026-03-23,Webcam Full HD,Periféricos,1,45.0,45.0,Centro-Oeste
94,2026-03-24,Roteador Wi-Fi 6,Redes,1,79.9,79.9,Nordeste
95,2026-03-25,Smartwatch Fitness,Celulares,3,110.0,330.0,Sul
96,2026-03-26,Pen Drive 64GB,Armazenamento,6,12.0,72.0,Sudeste
97,2026-03-27,Hub USB-C,Acessórios,2,29.9,59.8,Norte
98,2026-03-28,Microfone Condensador,Áudio,1,65.0,65.0,Centro-Oeste
99,2026-03-29,Cadeira Gamer,Móveis,1,250.0,250.0,Nordeste
100,2026-03-30,Memory Card 128GB,Armazenamento,5,18.0,90.0,Sul
